UniqueID,Field Time,Bench Time,Player Load,Player Load / Min,Player Load / Metre,Max Hr,Min Hr,Mean Hr,Peak Player Load
3648,0:25,0:00,147.89885,5.79829,0,175,111,149.68283,5.15105
1895,0:25,0:00,173.4726,6.80089,0,197,0,142.35787,5.89006
4854,0:25,0:00,209.60201,8.21732,0,192,116,162.72249,4.24087
2002,0:25,0:00,164.78154,6.46016,0,181,109,150.67355,5.05366
4210,0:25,0:00,199.16864,7.80829,0,194,0,180.64458,6.07381
1444,0:25,0:00,202.79135,7.95032,0,179,0,161.7938,4.47619
4667,0:25,0:00,198.5782,7.78514,0,107,0,107,5.79763
2265,0:25,0:00,170.265,6.67514,0,175,0,163.91604,4.696
736,0:25,0:00,164.25951,6.4397,0,182,131,162.01464,4.81623
929,0:25,0:00,160.65335,6.29832,0,201,0,174.62545,4.46636
502,0:25,0:00,181.45953,7.11401,0,123,0,105.92773,5.27265
3580,0:25,0:00,150.19157,5.88817,10.43069,175,121,154.49458,4.33891
1662,0:25,0:00,152.61784,5.98329,0,174,109,143.87226,5.36918
804,0:25,0:00,183.90887,7.21004,0,0,0,0,5.39417
2676,0:25,0:00,239.52713,9.39052,0,186,0,142.19025,5.70616
750,0:25,0:00,142.34865,5.5807,56.33107,238,0,162.61657,4.79831
4449,0:25,0:00,142.06352,5.56952,0,0,0,0,4.14896
3706,0:25,0:00,203.45094,7.97617,0,180,114,154.0264,5.24072
1752,0:25,0:00,150.9763,5.91894,0,178,99,155.43035,6.01396
142,0:23,0:00,296.4845,12.8757,0,188,134,174.8559,4.12729
3020,0:23,0:00,181.32083,7.87438,0,174,124,154.98024,5.62609
4972,0:23,0:00,223.43353,9.70325,0,169,0,153.0183,3.78251
1789,0:23,0:00,308.93845,13.41655,0,196,119,173.75036,3.88348
1804,0:23,0:00,230.64545,10.01645,27.61558,186,120,166.85821,5.2152
4316,0:23,0:00,225.9274,9.81155,0,197,0,176.70035,4.4555
2617,0:23,0:00,342.61029,14.87885,0,184,0,172.46148,3.91841
1038,0:23,0:00,286.79752,12.45502,0,195,0,174.021,4.82367
386,0:23,0:00,285.18219,12.38487,0,167,0,153.92973,5.17038
4652,0:23,0:00,278.36389,12.08876,0,184,136,172.20505,4.62947
1221,0:23,0:00,234.67665,10.19152,330.06629,199,0,179.79499,3.78741
249,0:23,0:00,353.23807,15.34039,0,102,0,91.61527,4.28917
1200,0:23,0:00,299.98596,13.02776,56.42014,183,0,170.8817,4.13384
1493,0:23,0:00,268.90057,11.67779,0,178,126,156.33302,5.70163
2425,0:23,0:00,258.54742,11.22817,0,174,0,156.06836,4.98041
4571,0:23,0:00,356.70963,15.49127,47.0159,189,0,154.41343,7.23163
133,0:23,0:00,205.99265,8.94583,29.78062,236,0,179.45172,4.99798
758,0:23,0:00,261.5997,11.36073,0,0,0,0,4.05423
3343,0:23,0:00,293.13782,12.73036,0,172,87,147.68819,3.40748
398,0:23,0:00,354.69559,15.40369,7390.02702,188,124,177.77338,4.98451
3383,0:23,0:00,275.03076,11.94401,37.99293,180,119,163.95339,5.34872
4191,0:04,0:01,63.20524,15.39214,0,188,138,174.85877,4.96286
